occ_code,automation_exposure,augmentation_exposure,theoretical_exposure,theoretical_exposure_conservative,automation_share,augmentation_share,classified_task_n
13-1111,0.10126869158878504,0.14223130841121495,0.7142857142857142,0.4047619047619047,0.4158878504672897,0.5841121495327103,5.0
13-1121,0.04256538461538462,0.05973461538461538,0.8648648648648649,0.4864864864864865,0.41608391608391615,0.5839160839160839,4.0
13-1131,0.016362963256949564,0.03023703674305044,0.8846153846153847,0.5192307692307693,0.35113655057831683,0.6488634494216832,8.0
13-1141,0.029218633013305365,0.03568136698669463,0.8684210526315789,0.4736842105263157,0.4502100618382953,0.5497899381617046,5.0
13-1151,0.11215378863290157,0.16714621136709842,1.0,0.5526315789473684,0.401553127937349,0.598446872062651,3.0
13-1161,0.2794565108441589,0.3688434891558411,1.0,0.5245901639344263,0.4310604825607881,0.5689395174392119,8.0
13-1199,0.07854997530073536,0.10605002469926463,0.9415292353823088,0.5828407660281357,0.4255144924200182,0.5744855075799817,44.0
13-2011,0.15437517449253765,0.19342482550746237,1.0,0.56,0.44386191630976896,0.5561380836902311,7.0
13-2031,0.0,0.0672,0.96,0.52,0.0,1.0,6.0
13-2041,,,1.0,0.5555555555555556,,,2.0
13-2051,0.17937712723775237,0.3922228727622476,0.9230769230769232,0.4615384615384615,0.31381582791769136,0.6861841720823086,8.0
13-2052,0.09757986536836198,0.252820134631638,0.9473684210526316,0.5,0.27848135093710613,0.7215186490628939,11.0
13-2053,0.0625,0.0,1.0,0.5714285714285714,1.0,0.0,1.0
13-2054,0.10909757826551254,0.1558024217344875,1.0,0.5333333333333333,0.41184438756327874,0.5881556124367213,37.0
13-2061,0.012445390070921984,0.030354609929078014,0.9393939393939394,0.5,0.2907801418439716,0.7092198581560284,2.0
13-2071,0.05636651284157735,0.17773348715842266,0.9772727272727272,0.625,0.24077963623057388,0.7592203637694261,13.0
13-2072,0.05321382473700156,0.13248617526299847,0.9772727272727272,0.5909090909090909,0.2865580222778759,0.7134419777221243,4.0
13-2081,0.002657004830917873,0.02484299516908213,0.967741935483871,0.5806451612903225,0.09661835748792265,0.9033816425120774,3.0
13-2082,0.012812502442066356,0.11548749755793365,1.0,0.625,0.09986361996934026,0.9001363800306598,5.0
13-2099,0.10246467435706272,0.1177353256429373,0.9318181818181819,0.5832309582309583,0.4653254966260795,0.5346745033739205,29.0
15-1211,0.09087019983028834,0.18542980016971164,0.9407308377896613,0.6174242424242424,0.32888237361667877,0.6711176263833212,16.0
15-1212,0.1611132229514374,0.32478677704856257,0.9565217391304348,0.6521739130434783,0.33157691490314345,0.6684230850968564,8.0
15-1221,0.10146406166163618,0.23893593833836377,0.8846153846153847,0.6346153846153847,0.29807303660880197,0.701926963391198,9.0
15-1231,0.10422913169041688,0.18247086830958312,0.8076923076923077,0.6346153846153847,0.3635477212780498,0.6364522787219502,9.0
15-1232,0.1643366093971129,0.3041633906028871,0.7777777777777777,0.611111111111111,0.3507718450311908,0.6492281549688091,8.0
